Hochgeladen?,URL,Framework,ACCOUNT,VIEWS,LIKES,COMMENTS,SHARES,SAVES,PLATTFORM
TRUE,https://www.tiktok.com/@meetyourmaster.de/video/7294661149834906913,,Meet Your Master,394.500,18.300,118,,,
TRUE,https://www.instagram.com/greator/reel/Ci2gtUFIs8u/,,Greator,394.000,10.400,49,,,
TRUE,https://www.instagram.com/reel/DAB02_3oo9U/,,Finanzfluss,392.703,3.657,63,16,,
TRUE,https://www.facebook.com/reel/513512301550178,,Fuat & Marta,391.000,1.846,48,151,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7251646135205399835,,Fuat & Marta,390.200,23.800,340,2.150,5.426,
TRUE,https://www.tiktok.com/@fuat_marta/video/7262376643749072161,,Fuat & Marta,389.500,25.400,245,2.663,9.318,
TRUE,https://youtube.com/shorts/-kTJahQ3olo,,Greator,387.854,4.292,86,,,
TRUE,https://www.instagram.com/greator/reel/CiNgfFfOuvt/,,Greator,387.000,8.365,52,,,
TRUE,https://www.tiktok.com/@greator/video/6862312045883215110,,Greator,385.500,15.500,223,2,1.170,
TRUE,https://www.instagram.com/reel/DCZf3nFC88e/,,Finanzfluss,384.117,3.430,74,28,,
TRUE,https://www.instagram.com/greator/reel/CpQTpjNIkho/,,Greator,384.000,13.400,189,,,
TRUE,https://www.instagram.com/greator/reel/CiaZUFuNM_i/,,Greator,382.000,8.174,52,,,
TRUE,https://www.facebook.com/reel/1528485411343622,,Meet Your Master,380.000,1.065,28,70,,
TRUE,https://www.facebook.com/reel/154782514340144,,Meet Your Master,380.000,7.384,101,213,,
TRUE,https://www.instagram.com/greator/reel/CmJ5T97oov2/,,Greator,379.000,7.820,50,,,
TRUE,https://youtube.com/shorts/--Y5KuP7zlc,,Greator,377.173,15.126,152,,,
TRUE,https://youtube.com/shorts/4as7pESwXD4,,Finanzfluss,377.132,7.643,212,,,
TRUE,https://youtube.com/shorts/hMOIoeW0Om4,,Greator,374.477,6.613,245,,,
TRUE,https://www.instagram.com/reel/C_JFxv8sgNg/,,Finanzfluss,374.042,5.247,35,12,,
